" Timestamp","Timestamp formattato","Nome PC","Sistema operativo","Utente","Messaggio"
1715642846201,14-05-2024 01:27:26,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715642884021,14-05-2024 01:28:04,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715642912773,14-05-2024 01:28:32,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715642946210,14-05-2024 01:29:06,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715642975683,14-05-2024 01:29:35,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715642992811,14-05-2024 01:29:52,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,ROSSO si ritira. NERO vince la partita di Dama
1715643020953,14-05-2024 01:30:20,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715643048609,14-05-2024 01:30:48,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715643083386,14-05-2024 01:31:23,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715643134496,14-05-2024 01:32:14,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715643198690,14-05-2024 01:33:18,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715643227760,14-05-2024 01:33:47,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715643233603,14-05-2024 01:33:53,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,ROSSO si ritira. NERO vince la partita di Dama
1715643234814,14-05-2024 01:33:54,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715643235473,14-05-2024 01:33:55,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,ROSSO si ritira. NERO vince la partita di Dama
1715643236436,14-05-2024 01:33:56,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
